"id","name","parent_id","parent_name"
2430,Факелы уличные,6943,Все для садоводства
2431,Подставки для цветов,6943,Все для садоводства
2433,Ювелирные пряжки,204,Ювелирные украшения
2434,Гобелены,195,Дом
2435,Фольга пищевая,1077,Хозяйственные товары
2436,Переходники,6258,Смартфоны и аксессуары
2438,Диапроекторы,7,Игрушки
2439,Диафильмы,7,Игрушки
2441,Маски для сварщиков,6119,Спецодежда и СИЗы
2442,Защита радиатора,760,Автомобильные товары
2446,Серпянка,2050,Строительные материалы
2447,Инструменты для зачистки проводов,1162,Строительные инструменты
2448,Кувалды,1162,Строительные инструменты
2449,Угольники столярные,1162,Строительные инструменты
2450,Гидроуровни,1162,Строительные инструменты
2451,Щупы магнитные,1162,Строительные инструменты
2452,Веревки альпинистские,239,Спортивный товар
2453,Наконечники для палок,239,Спортивный товар
2454,Бочонки для напитков,1590,Посуда и инвентарь
2455,Трубки для питьевой системы,239,Спортивный товар
2456,Ювелирные ремни,204,Ювелирные украшения
2457,Бумага для выпечки,1077,Хозяйственные товары
2458,Пачки балетные,1513,Спортивная одежда
2459,Формы для садовых дорожек,6943,Все для садоводства
2460,Фуражки,6,Головные уборы
2461,Планки спортивные,239,Спортивный товар
2462,Добавки для строительных смесей,2050,Строительные материалы
2463,Компрессы детские,883,Товары для малышей
2464,Пустышки для медикаментов,883,Товары для малышей
2466,Пакеты пищевые,1077,Хозяйственные товары
2467,Аксессуары для косметических аппаратов,657,Бытовая техника
2468,Детекторы валют,2479,Торговое оборудование
2469,Счетчики банкнот,2479,Торговое оборудование
2470,Выносные дисплеи,2479,Торговое оборудование
2471,Сортировщики банкнот,2479,Торговое оборудование
2472,Сортировщики монет,2479,Торговое оборудование
2473,Кондиционеры воздуха,5495,Крупная бытовая техника
2474,Сахарозаменители,3109,Продукты
2475,Стерилизаторы зубных щеток,657,Бытовая техника
2476,Киперы для бутылок,1590,Посуда и инвентарь
2477,Стержни для ручек,571,Канцелярские товары
2478,Грифели для карандашей,571,Канцелярские товары
2479,Торговое оборудование,0,""
2480,Кофемолки механические,1590,Посуда и инвентарь
2483,Пульты дистанционной съемки,6258,Смартфоны и аксессуары
2484,Багорики,239,Спортивный товар
2485,Зевники,239,Спортивный товар
